,cpufreq,uncore_min,uncore_max,reducermaxSizeInFlight,shufflefilebuffer,shufflesortbypassMergeThreshold,speculationinterval,speculationmultiplier,speculationquantile,broadcastblockSize,iocompressionsnappyblockSize,kryoserializerbuffermax,kryoserializerbuffer,drivermemory,executormemory,networktimeout,localitywait,taskmaxFailures,shufflecompress,memoryfraction,shufflespillcompress,broadcastcompress,memorystorageFraction
53,1900000,15,15,83,98,440,260,1,0.5,22,37,112,82,11,11,200,8,5,1,0.5,1,0,0.8999999999999999
54,1000000,20,20,66,89,290,110,3,0.7999999999999999,32,122,76,104,13,11,380,1,1,1,0.6,1,0,0.7999999999999999
55,2800000,15,15,39,30,840,690,5,0.7,12,95,74,48,11,13,240,10,1,1,0.5,0,1,0.7999999999999999
56,3700000,20,20,97,28,920,720,4,0.6,28,52,128,34,12,15,460,8,7,1,0.7999999999999999,0,0,0.8999999999999999
57,1900000,24,24,112,96,880,230,2,1.0,6,52,24,76,8,18,120,7,3,0,0.7,0,1,0.8999999999999999
58,2800000,15,15,43,35,480,110,3,1.0,38,124,66,114,8,16,300,8,5,1,0.8999999999999999,0,1,0.7
59,1900000,20,20,41,125,360,720,3,0.8999999999999999,54,25,30,90,10,10,500,3,3,0,0.7999999999999999,0,1,0.8999999999999999
60,3700000,24,24,61,126,800,740,1,1.0,18,102,60,56,9,17,260,7,3,1,0.7999999999999999,1,1,0.6
61,1000000,15,15,87,121,980,370,5,0.6,38,93,120,56,10,9,500,2,4,0,0.6,0,1,1.0
62,1000000,24,24,93,59,980,770,1,0.6,42,76,102,80,11,9,180,3,5,1,0.7999999999999999,0,0,0.6
63,3700000,10,10,24,27,710,190,4,0.7999999999999999,28,54,82,76,8,9,420,6,4,1,0.7,0,0,0.6
64,1900000,20,20,94,71,310,570,4,0.7,32,76,102,116,8,15,460,8,4,0,0.8999999999999999,0,1,1.0
65,3700000,15,15,32,65,190,100,3,0.5,56,114,64,122,13,12,120,10,2,0,1.0,1,1,1.0
66,1900000,24,24,101,95,730,600,5,0.5,40,57,24,90,9,17,360,7,4,0,0.6,0,0,0.6
67,3700000,20,20,118,91,640,860,5,0.7,42,57,36,36,8,9,220,2,5,1,0.6,0,0,0.6
68,1900000,20,20,119,56,250,950,3,0.6,34,60,98,108,9,15,40,10,5,1,0.6,1,1,0.7
69,1000000,24,24,36,94,1000,310,1,1.0,4,42,32,92,11,12,480,7,6,0,0.7,1,0,0.7999999999999999
70,2800000,15,15,71,61,980,440,4,0.7,18,82,34,122,9,11,60,10,8,1,1.0,1,1,0.8999999999999999
71,1000000,10,10,120,107,720,920,5,0.5,52,88,64,92,13,8,120,6,1,0,0.8999999999999999,0,0,0.7999999999999999
72,1000000,10,10,82,59,110,360,4,1.0,26,80,98,66,11,15,20,8,5,1,0.5,1,0,0.6
73,1000000,15,15,43,87,260,490,1,1.0,56,126,74,76,10,9,480,6,3,0,0.8999999999999999,0,1,0.6
74,3700000,20,20,32,87,700,890,3,0.7999999999999999,36,119,40,54,11,11,380,8,5,0,0.5,0,1,0.8999999999999999
75,1900000,24,24,80,82,500,650,4,1.0,18,74,112,88,12,15,60,6,7,0,1.0,1,0,0.7
76,2800000,10,10,59,80,640,640,1,0.5,44,113,110,128,12,14,360,10,2,1,0.5,0,1,0.6
77,2800000,15,15,49,90,890,610,5,0.7,56,30,76,48,9,9,300,7,7,1,0.5,1,0,1.0
78,3700000,15,15,54,104,550,330,5,0.7999999999999999,8,83,82,42,14,10,180,5,5,1,1.0,0,1,0.8999999999999999
79,2800000,24,24,94,56,210,380,2,0.7999999999999999,56,52,60,90,11,8,100,4,5,1,0.7,0,1,0.5
80,3700000,15,15,37,31,830,330,1,0.5,52,118,122,76,13,11,40,10,8,1,0.6,0,0,0.6
81,3700000,20,20,124,97,130,880,2,0.8999999999999999,52,109,126,124,9,10,200,5,4,0,0.7,0,1,0.5
82,1900000,15,15,37,117,610,990,1,1.0,50,112,72,108,13,12,180,7,8,0,0.5,1,1,1.0
83,3700000,10,10,124,25,870,990,3,1.0,6,93,46,94,9,12,200,7,7,0,0.5,0,0,1.0
84,2800000,15,15,39,67,620,610,4,0.7,26,85,52,26,13,11,360,8,2,1,0.5,1,1,0.6
85,1900000,24,24,89,44,340,980,2,0.6,4,85,40,66,12,18,480,7,3,1,0.5,0,1,0.7999999999999999
86,1900000,20,20,27,73,120,970,4,0.7999999999999999,58,113,122,44,9,11,400,9,3,0,0.8999999999999999,0,1,1.0
87,3700000,15,15,105,45,360,960,2,1.0,8,94,36,86,12,10,500,4,5,1,1.0,0,1,0.7999999999999999
88,1900000,24,24,99,109,810,270,1,0.8999999999999999,18,115,44,126,12,17,500,6,3,1,0.7999999999999999,0,0,0.7
89,2800000,10,10,83,77,620,760,1,1.0,22,60,44,106,9,10,120,8,8,1,0.7999999999999999,1,0,0.6
90,1900000,10,10,27,64,610,110,3,0.6,38,29,28,70,13,14,60,9,7,1,0.5,0,0,0.5
91,3700000,20,20,44,127,220,460,5,0.8999999999999999,6,72,92,28,13,12,260,2,7,0,0.5,1,0,1.0
92,3700000,20,20,82,80,880,620,3,0.8999999999999999,6,117,62,114,10,9,140,8,2,1,0.7999999999999999,1,1,0.8999999999999999
93,1900000,20,20,100,32,620,980,1,0.5,14,69,52,68,13,17,460,7,4,0,0.7,0,1,1.0
94,3700000,24,24,57,60,160,210,4,0.8999999999999999,64,49,62,128,12,8,500,8,3,1,0.7,0,0,0.6
95,1000000,24,24,53,99,1000,850,5,0.6,6,72,70,82,9,11,440,4,3,0,0.7,0,1,1.0
96,1900000,24,24,108,89,810,800,1,0.5,60,107,128,36,8,8,120,1,6,1,0.5,1,1,0.7
97,3700000,20,20,107,120,760,900,4,0.8999999999999999,6,55,94,68,13,16,260,1,2,0,0.7999999999999999,0,0,0.7
98,1000000,24,24,33,64,680,450,4,0.7999999999999999,30,57,34,70,13,12,220,7,2,1,1.0,0,1,0.6
99,2800000,10,10,114,97,150,890,3,1.0,36,48,72,80,10,13,480,7,6,0,0.8999999999999999,1,1,0.8999999999999999
100,3700000,10,10,71,118,440,270,5,0.5,4,80,40,100,9,17,340,3,4,0,1.0,0,1,0.7999999999999999
101,2800000,10,10,81,66,910,610,2,0.7,38,101,80,120,13,14,100,6,8,1,0.6,0,0,1.0
102,1000000,10,10,48,59,740,280,3,0.7999999999999999,26,112,98,54,9,13,200,10,1,0,0.5,1,0,0.6
103,1900000,10,10,61,63,800,610,3,1.0,22,90,92,40,13,8,480,8,1,1,0.6,0,0,0.8999999999999999
104,3700000,15,15,96,61,660,700,4,0.7,22,67,50,52,9,13,40,7,8,0,1.0,1,0,1.0
105,3700000,15,15,113,75,840,660,2,0.5,54,39,24,70,14,14,440,5,2,1,0.8999999999999999,1,0,0.6
106,2800000,20,20,125,73,370,830,1,0.7,8,69,64,128,11,16,80,8,3,1,0.7,1,1,0.6
107,3700000,15,15,46,24,690,720,5,1.0,28,91,60,92,11,17,400,2,4,0,0.6,0,1,1.0
108,1000000,24,24,57,35,860,700,2,0.7,56,120,106,100,12,9,420,4,3,1,0.7999999999999999,1,0,0.8999999999999999
109,1000000,10,10,77,82,270,480,3,1.0,10,33,126,58,14,10,260,7,4,0,0.5,0,1,1.0
110,2800000,10,10,93,68,970,260,3,0.7999999999999999,12,98,44,118,10,11,140,8,3,1,1.0,0,1,0.7999999999999999
111,1900000,15,15,77,116,530,940,3,0.6,42,108,116,116,9,12,120,2,4,0,0.7,0,0,0.7999999999999999
112,1900000,24,24,92,84,570,720,3,1.0,34,85,72,52,11,9,360,4,4,0,0.5,1,1,0.5
113,1000000,24,24,123,108,890,630,1,0.7999999999999999,36,127,36,78,8,10,420,8,3,0,0.5,0,0,0.6
114,3700000,15,15,24,107,350,240,1,0.7,24,36,92,114,13,9,340,3,8,0,1.0,1,0,0.7
115,1000000,10,10,121,41,510,600,4,0.6,54,97,50,128,13,12,280,7,7,0,1.0,1,1,0.5
116,3700000,24,24,52,126,1000,740,1,1.0,56,116,96,44,9,17,20,6,3,0,1.0,0,1,0.8999999999999999
117,2800000,15,15,113,79,280,540,5,0.5,32,95,44,122,10,17,320,8,5,1,0.6,1,0,0.7999999999999999
118,1000000,15,15,117,53,110,170,5,0.7999999999999999,50,86,36,98,9,12,460,1,4,1,0.7999999999999999,1,1,1.0
119,2800000,24,24,78,116,720,690,1,0.7,10,114,94,74,14,9,180,3,2,0,1.0,1,0,0.7999999999999999
120,3700000,20,20,91,87,600,660,1,0.7999999999999999,42,124,68,30,12,15,100,10,8,1,0.5,1,0,1.0
121,1000000,20,20,89,52,760,290,1,1.0,4,103,106,92,8,9,280,1,5,1,0.6,0,0,0.5
122,3700000,10,10,24,97,550,600,5,0.8999999999999999,4,48,58,128,14,16,140,10,8,1,0.5,0,0,0.7999999999999999
123,1900000,24,24,124,46,700,420,4,0.6,46,31,76,104,9,9,40,2,8,1,0.8999999999999999,1,0,0.7
124,1900000,15,15,99,64,420,370,3,0.6,10,53,78,122,14,9,420,9,8,0,0.7,0,0,0.5
125,2800000,24,24,115,89,130,890,1,0.8999999999999999,64,52,38,76,8,18,80,9,8,1,0.5,1,0,0.8999999999999999
126,1000000,24,24,114,46,560,330,4,0.8999999999999999,42,68,36,34,12,9,200,3,1,1,1.0,0,1,0.6
127,1900000,24,24,78,59,240,280,3,0.7,14,57,80,64,8,13,200,8,3,0,1.0,0,1,0.7999999999999999
128,1900000,20,20,31,37,160,660,5,0.7,42,114,78,90,12,15,140,7,4,1,0.8999999999999999,0,0,0.6
129,2800000,20,20,59,108,700,350,5,0.7999999999999999,44,28,104,54,10,14,340,10,2,0,0.6,0,1,1.0
130,2800000,10,10,99,31,570,530,2,0.6,42,32,86,48,13,10,420,6,7,1,1.0,1,0,0.5
131,3700000,10,10,25,103,170,490,5,0.7999999999999999,22,127,76,88,11,10,100,3,4,0,0.7,1,1,0.5
132,3700000,10,10,31,109,490,980,3,0.6,36,48,118,62,12,18,240,3,7,0,0.7999999999999999,0,1,0.6
133,3700000,20,20,56,72,310,170,2,0.7999999999999999,34,65,98,80,11,12,320,8,2,0,0.8999999999999999,0,0,0.5
134,2800000,15,15,97,74,210,220,2,0.6,6,93,94,98,8,14,320,1,3,1,1.0,0,1,1.0
135,3700000,15,15,109,117,410,800,5,0.7,10,24,64,120,14,16,100,8,1,1,1.0,0,0,0.7
136,1000000,15,15,83,78,120,890,2,0.7999999999999999,52,35,42,50,13,10,200,6,4,0,0.5,1,0,0.7
137,3700000,20,20,28,40,880,780,4,0.5,30,95,88,68,10,14,440,8,8,1,0.8999999999999999,0,1,0.6
138,3700000,15,15,114,62,690,760,2,0.6,8,96,30,38,10,11,20,10,8,0,1.0,0,1,1.0
139,3700000,24,24,94,87,710,480,1,0.7999999999999999,42,67,108,66,13,16,440,1,5,1,0.8999999999999999,1,0,0.7999999999999999
140,1000000,15,15,111,100,680,830,1,0.6,56,42,84,94,9,10,60,6,3,0,0.8999999999999999,0,0,0.7999999999999999
141,2800000,15,15,66,114,680,370,3,0.6,38,56,90,84,8,14,480,3,5,0,0.5,0,0,0.7999999999999999
142,1000000,24,24,53,68,220,190,4,0.5,62,54,96,110,13,10,260,9,8,1,0.7999999999999999,0,0,0.7999999999999999
143,3700000,24,24,72,64,480,290,3,0.7999999999999999,14,93,102,48,8,13,180,3,6,1,0.5,0,1,1.0
144,2800000,15,15,50,35,570,800,2,0.6,60,111,102,110,10,13,140,3,2,1,1.0,1,0,0.5
145,3700000,10,10,93,127,870,620,2,1.0,18,74,112,88,8,18,320,5,8,1,0.8999999999999999,1,0,0.8999999999999999
146,2800000,24,24,27,41,500,920,2,0.8999999999999999,60,102,56,66,11,10,120,10,3,0,0.5,1,0,0.8999999999999999
147,2800000,10,10,125,72,250,780,5,0.7,60,28,108,112,14,10,260,2,6,1,0.5,1,0,0.7999999999999999
148,2800000,20,20,73,70,730,730,3,0.7,10,87,92,104,14,11,140,1,1,1,1.0,0,1,0.8999999999999999
149,1000000,15,15,87,49,470,930,5,0.7,48,94,24,98,8,11,480,9,3,1,0.5,0,1,0.7999999999999999
150,1900000,15,15,76,41,750,310,5,1.0,50,108,34,26,12,9,60,6,7,0,0.5,0,0,0.6
151,3700000,24,24,91,50,900,340,2,0.7,8,84,56,100,12,13,480,10,6,1,1.0,1,0,0.6
152,3700000,15,15,32,32,760,850,2,0.7999999999999999,26,36,108,70,12,15,60,9,1,1,0.7999999999999999,0,1,0.7
153,2800000,10,10,84,52,700,780,1,0.7,14,52,74,98,12,17,200,7,1,1,0.7,1,1,0.5
154,1900000,15,15,46,87,860,140,2,0.6,32,53,78,114,10,18,260,8,5,0,1.0,1,0,0.7999999999999999
155,1900000,15,15,82,95,600,160,5,1.0,46,93,112,34,14,8,500,3,2,0,0.7999999999999999,0,0,0.7
156,1900000,15,15,118,64,670,440,4,0.5,50,103,128,100,12,11,100,10,3,1,0.8999999999999999,1,1,0.7
157,2800000,24,24,39,111,500,340,1,1.0,20,86,122,124,9,18,280,7,4,1,0.6,0,0,0.7
158,1900000,24,24,35,80,720,970,2,0.7,64,81,114,24,11,18,80,10,6,1,1.0,0,1,0.8999999999999999
159,2800000,15,15,39,107,770,610,5,0.8999999999999999,44,38,126,64,10,18,380,5,2,0,0.7,1,1,0.7
160,3700000,24,24,125,113,630,730,3,0.7999999999999999,42,102,120,124,8,18,180,7,6,1,0.6,0,0,0.6
161,2800000,24,24,51,54,620,540,1,0.7,42,84,90,74,14,11,380,5,1,0,0.6,0,0,0.5
162,1900000,24,24,112,54,240,620,5,0.5,40,97,76,26,8,18,400,2,8,1,0.7,0,0,1.0
163,1900000,15,15,85,43,690,780,1,0.5,36,28,86,116,8,14,120,7,5,1,0.7,1,0,0.6
164,1900000,24,24,37,127,970,120,5,0.6,36,50,36,128,14,15,80,3,2,0,0.7,0,0,0.8999999999999999
165,1000000,15,15,40,34,740,220,3,1.0,42,99,64,48,9,15,100,4,8,0,0.7,1,1,0.7999999999999999
166,2800000,24,24,127,111,830,160,3,0.7,18,63,68,42,9,18,180,4,1,0,0.8999999999999999,0,1,0.5
167,3700000,10,10,101,68,800,890,1,0.5,44,93,28,44,8,17,480,8,6,1,1.0,1,1,0.7
168,3700000,20,20,52,102,210,130,4,0.7,26,107,112,26,12,11,80,9,7,1,0.7,1,0,0.7999999999999999
169,3700000,24,24,104,51,910,960,1,1.0,54,91,110,44,12,10,120,5,5,1,0.5,0,1,0.8999999999999999
170,3700000,24,24,126,39,280,610,4,0.5,52,52,124,72,10,9,60,6,1,1,0.6,0,1,0.7
171,1900000,15,15,81,58,280,560,1,0.5,52,97,84,68,11,15,180,5,3,1,0.7,1,0,1.0
172,1900000,20,20,81,107,260,970,2,0.6,42,66,62,58,13,11,80,2,4,0,0.6,1,0,0.5
173,1900000,20,20,102,89,720,340,2,1.0,32,51,64,26,14,13,320,4,8,1,0.7999999999999999,0,0,0.6
174,1900000,15,15,101,124,230,300,4,0.8999999999999999,18,51,72,78,10,15,480,5,3,1,1.0,0,0,0.7
175,3700000,10,10,57,68,680,560,5,0.6,26,79,44,118,8,8,400,10,1,1,0.7999999999999999,1,1,0.8999999999999999
176,1900000,10,10,33,124,480,310,4,0.8999999999999999,8,85,126,40,13,10,380,6,3,1,0.8999999999999999,1,0,1.0
177,1900000,15,15,48,121,760,100,1,0.7999999999999999,58,26,114,56,12,13,340,5,5,0,0.7999999999999999,1,0,0.5
178,2800000,15,15,109,122,630,760,3,0.5,36,108,98,66,11,12,360,9,1,1,0.8999999999999999,1,1,0.7
179,1000000,10,10,102,48,340,380,4,0.7,58,71,64,52,13,8,40,1,6,1,0.6,0,1,0.6
180,3700000,15,15,78,113,450,680,5,0.6,56,116,92,74,12,9,400,6,2,1,0.8999999999999999,0,1,0.5
181,3700000,20,20,116,78,520,450,5,0.5,34,44,30,28,13,13,420,1,3,1,0.7999999999999999,0,1,0.7
182,3700000,15,15,105,56,860,660,5,0.7999999999999999,62,120,54,28,11,13,480,4,4,1,0.8999999999999999,1,1,1.0
183,1000000,15,15,100,25,490,640,4,0.5,28,40,76,114,9,15,340,1,1,0,0.5,1,0,0.7999999999999999
184,1000000,10,10,87,33,390,560,5,0.7,52,86,32,126,13,15,80,9,8,1,0.8999999999999999,1,1,0.5
185,1900000,20,20,113,26,300,410,4,0.5,28,113,68,96,10,10,260,10,8,0,1.0,0,0,1.0
186,1000000,24,24,115,66,910,160,1,0.8999999999999999,12,34,70,42,10,8,480,4,7,0,0.8999999999999999,1,0,0.8999999999999999
187,1000000,20,20,30,125,110,400,2,0.7,38,52,46,126,10,13,120,10,6,0,1.0,1,1,0.7999999999999999
188,1000000,10,10,116,107,650,600,3,0.6,46,58,40,86,10,18,220,8,6,0,0.7999999999999999,0,1,0.7
189,1900000,15,15,66,63,400,980,3,0.7,30,65,68,118,9,13,220,10,2,1,1.0,1,1,0.6
190,2800000,20,20,117,72,630,180,1,1.0,50,75,28,52,12,10,140,8,5,0,0.5,0,0,0.8999999999999999
191,2800000,10,10,46,54,170,770,2,0.6,40,101,38,70,8,18,480,3,2,1,0.7999999999999999,0,0,1.0
192,1900000,20,20,94,113,200,630,2,1.0,32,86,110,44,11,14,460,10,5,1,0.5,1,1,0.7
193,3700000,20,20,42,65,370,310,1,0.8999999999999999,40,93,64,78,13,17,300,9,8,0,0.7999999999999999,1,1,0.8999999999999999
194,3700000,20,20,29,73,800,700,2,0.8999999999999999,30,71,104,64,9,10,340,10,7,1,0.5,1,1,0.7999999999999999
195,1000000,10,10,67,33,970,250,1,0.7999999999999999,22,40,98,86,9,8,20,4,6,0,0.6,1,1,0.8999999999999999
196,2800000,24,24,36,104,940,1000,5,0.8999999999999999,64,126,34,40,13,12,340,10,3,0,1.0,0,0,0.8999999999999999
197,3700000,24,24,54,45,720,910,2,0.8999999999999999,28,43,44,70,10,15,420,5,2,1,0.6,0,1,0.8999999999999999
198,3700000,24,24,112,111,310,960,2,0.5,64,43,36,110,11,17,480,1,3,1,0.8999999999999999,0,1,0.8999999999999999
199,3700000,20,20,90,79,800,370,3,0.7,16,28,46,26,8,14,360,2,7,0,0.7,0,0,0.7999999999999999
200,3700000,24,24,121,64,280,440,5,0.6,52,99,34,100,13,11,220,8,2,1,0.7999999999999999,1,0,0.6
201,3700000,20,20,71,124,370,880,3,1.0,14,113,30,110,10,10,160,7,1,1,0.5,1,0,0.5
202,2800000,20,20,88,71,990,540,2,0.7,4,71,118,120,11,14,40,7,8,0,0.7,1,1,0.7999999999999999
203,3700000,20,20,83,107,900,700,1,0.8999999999999999,40,44,102,64,10,11,200,6,4,1,0.6,0,1,0.7
204,1000000,15,15,50,69,900,190,1,0.8999999999999999,26,46,54,80,11,9,360,2,6,0,0.7999999999999999,0,0,0.5
205,3700000,15,15,43,71,390,990,5,0.7999999999999999,64,70,72,34,12,11,420,7,1,0,0.8999999999999999,1,0,0.8999999999999999
206,1000000,10,10,97,84,360,700,1,0.7999999999999999,16,82,110,74,14,14,320,5,2,1,0.5,1,1,0.6
207,1000000,10,10,85,75,260,190,5,0.7,16,111,50,76,10,14,380,8,1,0,0.7,0,1,0.7
208,1900000,10,10,99,72,430,990,1,0.5,4,39,62,54,9,15,120,7,2,0,1.0,0,0,0.6
209,2800000,20,20,48,28,610,700,1,0.8999999999999999,28,55,94,112,8,16,240,1,4,0,0.6,1,0,0.7
210,3700000,24,24,57,107,580,940,5,0.7999999999999999,18,113,52,88,10,13,220,1,4,0,0.8999999999999999,1,0,1.0
211,1900000,15,15,89,31,780,840,3,0.7,28,86,56,100,13,8,60,10,6,1,0.8999999999999999,1,1,0.7999999999999999
212,2800000,10,10,41,58,300,580,3,0.7,48,106,32,106,14,8,20,10,5,0,0.7,1,1,0.7
213,3700000,15,15,90,80,790,530,3,0.6,64,36,102,110,14,16,40,7,8,0,0.5,0,1,0.5
214,2800000,24,24,124,67,350,330,2,1.0,54,87,58,62,10,17,360,1,6,0,0.5,1,1,0.5
215,2800000,20,20,34,86,860,490,1,0.7999999999999999,48,98,100,28,10,8,80,5,3,1,0.8999999999999999,1,1,0.6
216,2800000,20,20,110,27,200,860,1,0.7,52,46,24,114,12,10,320,2,7,0,0.8999999999999999,0,1,0.8999999999999999
217,1000000,15,15,65,81,890,980,1,0.5,4,80,60,102,14,18,40,10,2,0,0.5,0,1,1.0
218,1000000,20,20,41,87,950,650,4,0.8999999999999999,14,31,44,30,12,14,160,4,6,0,0.5,1,1,0.8999999999999999
219,1900000,24,24,79,81,170,540,5,1.0,4,32,26,78,14,9,40,1,3,1,0.7999999999999999,1,0,0.7999999999999999
220,2800000,10,10,64,121,730,660,5,1.0,34,44,56,114,11,15,420,4,8,1,0.8999999999999999,1,0,1.0
221,1000000,24,24,101,35,360,320,5,0.7,38,97,118,116,9,16,500,1,1,0,1.0,1,1,0.6
222,3700000,15,15,37,84,990,760,1,0.8999999999999999,40,28,48,66,8,12,420,9,6,1,0.5,1,0,0.7999999999999999
223,3700000,20,20,44,24,190,940,2,1.0,54,40,92,82,13,17,120,8,5,0,0.7999999999999999,0,0,0.7
