,cpufreq,uncore_min,uncore_max,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.shuffle.sort.bypassMergeThreshold,spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,spark.broadcast.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer.max,spark.kryoserializer.buffer,spark.driver.memory,spark.executor.memory,spark.network.timeout,spark.locality.wait,spark.task.maxFailures,spark.shuffle.compress,spark.memory.fraction,spark.shuffle.spill.compress,spark.broadcast.compress,spark.memory.storageFraction
65,2466666,30,30,114m,35k,590,550ms,1,0.5,46m,44k,32m,90k,10g,17g,20s,7s,3,true,0.7999999999999999,true,false,0.9999999999999999
66,1833333,10,10,99m,49k,450,950ms,3,0.9999999999999999,14m,51k,44m,90k,10g,14g,300s,1s,8,true,0.7999999999999999,false,false,0.5
67,1200000,20,20,53m,74k,930,560ms,4,0.9999999999999999,22m,112k,62m,82k,9g,14g,340s,7s,8,true,0.8999999999999999,false,false,0.5
68,1200000,30,30,96m,44k,410,770ms,2,0.5,20m,79k,42m,30k,14g,16g,100s,4s,6,false,0.9999999999999999,true,false,0.6
69,1833333,15,15,24m,109k,230,180ms,5,0.5,30m,46k,84m,38k,10g,15g,340s,5s,7,true,0.7999999999999999,true,true,0.6
70,1200000,10,10,116m,93k,180,940ms,1,0.9999999999999999,36m,69k,30m,60k,13g,14g,60s,6s,8,false,0.5,true,false,0.9999999999999999
71,2466666,30,30,123m,51k,900,270ms,2,0.7,42m,104k,94m,98k,9g,14g,480s,2s,3,false,0.5,false,true,0.5
72,3100000,30,30,52m,37k,720,440ms,1,0.7999999999999999,12m,62k,32m,86k,13g,16g,440s,5s,3,true,0.9999999999999999,false,true,0.5
73,3100000,10,10,116m,124k,640,390ms,2,0.6,34m,93k,66m,102k,8g,14g,280s,7s,1,true,0.7999999999999999,true,false,0.5
74,2466666,15,15,82m,43k,190,350ms,1,0.7,50m,83k,82m,66k,13g,14g,100s,8s,1,true,0.9999999999999999,false,false,0.7999999999999999
75,2466666,10,10,25m,118k,900,550ms,4,0.6,24m,65k,128m,32k,13g,9g,440s,5s,6,true,0.5,true,true,0.7
76,2466666,15,15,49m,81k,480,590ms,5,0.5,48m,99k,120m,94k,12g,9g,320s,3s,5,false,0.7999999999999999,true,false,0.9999999999999999
77,1833333,30,30,68m,45k,730,830ms,3,0.8999999999999999,56m,88k,94m,38k,10g,9g,260s,2s,4,true,0.5,true,false,0.8999999999999999
78,1833333,15,15,56m,63k,510,220ms,3,0.7999999999999999,30m,80k,104m,64k,11g,9g,320s,10s,1,false,0.8999999999999999,true,false,0.8999999999999999
79,2466666,20,20,61m,119k,810,680ms,4,0.9999999999999999,52m,79k,92m,124k,13g,16g,360s,3s,1,true,0.9999999999999999,true,false,0.6
80,1833333,20,20,82m,55k,670,300ms,3,0.7,10m,43k,126m,38k,9g,17g,300s,9s,1,true,0.6,true,true,0.5
81,2466666,30,30,118m,98k,440,550ms,4,0.5,56m,113k,48m,126k,8g,10g,400s,5s,3,true,0.5,false,false,0.7999999999999999
82,3100000,30,30,55m,112k,680,720ms,4,0.9999999999999999,44m,43k,106m,48k,8g,15g,60s,7s,3,false,0.7,true,true,0.7999999999999999
83,2466666,30,30,127m,95k,260,180ms,3,0.7999999999999999,44m,27k,74m,90k,8g,11g,120s,3s,5,false,0.5,false,false,0.5
84,1200000,20,20,74m,67k,480,480ms,5,0.5,6m,97k,116m,120k,9g,9g,240s,7s,1,true,0.7999999999999999,true,true,0.5
85,2466666,30,30,39m,27k,900,160ms,1,0.7999999999999999,38m,80k,72m,26k,10g,8g,260s,4s,5,true,0.8999999999999999,false,false,0.8999999999999999
86,1833333,15,15,53m,102k,810,120ms,5,0.6,58m,107k,106m,128k,8g,16g,20s,1s,6,false,0.9999999999999999,false,false,0.9999999999999999
87,3100000,30,30,106m,102k,540,530ms,2,0.6,64m,67k,106m,80k,10g,10g,160s,2s,1,false,0.7,false,true,0.8999999999999999
88,1200000,20,20,123m,62k,120,340ms,3,0.7,8m,44k,56m,70k,13g,12g,360s,8s,8,true,0.6,false,true,0.5
89,2466666,15,15,29m,114k,440,100ms,3,0.7999999999999999,62m,40k,114m,40k,9g,16g,440s,10s,8,true,0.7999999999999999,true,false,0.7999999999999999
90,1833333,20,20,97m,69k,260,750ms,4,0.6,22m,67k,32m,30k,13g,18g,440s,7s,1,true,0.7,true,true,0.8999999999999999
91,2466666,15,15,67m,128k,630,580ms,1,0.9999999999999999,10m,103k,126m,84k,12g,14g,340s,9s,1,true,0.7999999999999999,false,true,0.9999999999999999
92,2466666,20,20,68m,24k,750,980ms,4,0.7,24m,101k,80m,52k,11g,17g,80s,3s,5,true,0.9999999999999999,true,false,0.7999999999999999
93,1833333,30,30,94m,126k,830,240ms,5,0.6,48m,69k,32m,122k,10g,8g,160s,3s,3,false,0.7999999999999999,true,true,0.7999999999999999
94,1200000,10,10,41m,94k,360,350ms,1,0.6,6m,65k,88m,74k,12g,18g,40s,2s,2,true,0.5,false,true,0.9999999999999999
95,1200000,15,15,120m,88k,380,190ms,5,0.6,56m,51k,128m,120k,8g,10g,400s,6s,2,false,0.7,false,true,0.7
96,1200000,15,15,66m,67k,830,530ms,4,0.6,24m,50k,76m,112k,10g,9g,440s,8s,4,true,0.7999999999999999,true,false,0.6
97,3100000,20,20,47m,67k,150,500ms,4,0.8999999999999999,22m,83k,74m,116k,8g,9g,500s,6s,4,false,0.5,true,true,0.9999999999999999
98,3100000,10,10,70m,66k,570,640ms,3,0.9999999999999999,58m,44k,72m,66k,11g,17g,360s,4s,7,false,0.9999999999999999,true,true,0.9999999999999999
99,1833333,15,15,45m,65k,400,650ms,1,0.7999999999999999,48m,38k,126m,42k,9g,12g,140s,10s,7,true,0.7999999999999999,false,false,0.9999999999999999
100,1833333,20,20,49m,102k,510,890ms,5,0.7,62m,117k,46m,28k,14g,16g,100s,1s,8,false,0.7999999999999999,true,false,0.6
101,2466666,30,30,29m,58k,220,350ms,3,0.6,22m,95k,100m,90k,10g,14g,60s,4s,1,false,0.7,false,true,0.7999999999999999
102,3100000,10,10,27m,80k,120,120ms,5,0.6,64m,85k,64m,110k,9g,9g,180s,4s,5,false,0.5,false,true,0.7999999999999999
103,3100000,15,15,124m,98k,760,840ms,3,0.9999999999999999,58m,91k,100m,40k,13g,9g,480s,3s,6,true,0.5,true,false,0.9999999999999999
104,2466666,20,20,97m,53k,740,850ms,1,0.5,16m,84k,94m,92k,12g,16g,480s,1s,2,false,0.7,false,false,0.7
105,2466666,10,10,75m,97k,440,330ms,4,0.5,62m,122k,122m,74k,12g,13g,220s,5s,2,false,0.7,true,true,0.6
106,1833333,30,30,57m,80k,260,610ms,2,0.7999999999999999,32m,105k,52m,40k,13g,14g,140s,9s,3,true,0.5,true,true,0.7999999999999999
107,2466666,30,30,39m,127k,150,360ms,5,0.8999999999999999,12m,31k,88m,64k,14g,10g,440s,3s,4,false,0.5,true,false,0.7999999999999999
108,1833333,10,10,104m,105k,980,290ms,3,0.6,12m,37k,110m,32k,9g,13g,460s,7s,3,false,0.9999999999999999,true,true,0.7
109,2466666,10,10,116m,66k,260,270ms,1,0.5,8m,39k,74m,58k,11g,17g,200s,7s,5,true,0.5,true,true,0.7999999999999999
110,2466666,15,15,36m,113k,310,480ms,5,0.7,20m,49k,60m,62k,10g,12g,100s,5s,6,true,0.6,false,false,0.5
111,3100000,30,30,120m,66k,790,740ms,1,0.9999999999999999,54m,124k,62m,84k,8g,11g,40s,3s,4,true,0.8999999999999999,false,true,0.6
112,1200000,20,20,60m,127k,780,900ms,1,0.8999999999999999,56m,85k,102m,68k,8g,8g,140s,8s,1,false,0.7,true,true,0.9999999999999999
113,2466666,15,15,82m,58k,230,580ms,1,0.6,56m,41k,78m,70k,13g,8g,400s,3s,2,true,0.5,true,false,0.7999999999999999
114,3100000,20,20,61m,29k,700,410ms,3,0.6,4m,69k,84m,46k,14g,18g,380s,1s,2,false,0.7999999999999999,true,true,0.6
115,3100000,15,15,25m,70k,440,670ms,2,0.7,16m,48k,92m,38k,9g,9g,480s,4s,6,false,0.8999999999999999,true,false,0.6
116,2466666,15,15,128m,26k,720,660ms,5,0.7999999999999999,12m,37k,28m,92k,10g,8g,60s,4s,7,false,0.9999999999999999,false,true,0.6
117,2466666,10,10,106m,26k,420,300ms,3,0.7,4m,52k,68m,42k,14g,11g,420s,4s,4,true,0.6,false,false,0.6
118,2466666,10,10,90m,70k,350,240ms,2,0.7,50m,34k,84m,110k,11g,9g,500s,1s,3,false,0.7999999999999999,false,true,0.8999999999999999
119,1200000,30,30,41m,62k,940,220ms,5,0.7999999999999999,16m,80k,122m,30k,14g,14g,440s,6s,2,true,0.8999999999999999,true,false,0.7
120,3100000,15,15,124m,72k,200,170ms,3,0.7,36m,39k,56m,58k,12g,9g,320s,2s,8,true,0.5,true,true,0.7999999999999999
121,1833333,20,20,72m,94k,860,240ms,2,0.9999999999999999,58m,27k,88m,28k,13g,17g,100s,10s,4,false,0.7999999999999999,true,false,0.7999999999999999
122,3100000,30,30,47m,56k,770,870ms,5,0.9999999999999999,28m,75k,78m,40k,11g,11g,380s,9s,3,true,0.5,true,false,0.9999999999999999
123,2466666,20,20,32m,48k,390,750ms,5,0.7999999999999999,38m,33k,78m,48k,8g,15g,420s,6s,3,true,0.8999999999999999,false,true,0.7
124,1833333,10,10,37m,48k,920,290ms,4,0.7,32m,29k,58m,64k,14g,14g,360s,4s,4,false,0.8999999999999999,false,false,0.7
125,1833333,10,10,103m,123k,620,840ms,1,0.7999999999999999,46m,45k,34m,96k,12g,16g,500s,4s,5,true,0.5,false,false,0.7999999999999999
126,1833333,30,30,73m,83k,420,220ms,1,0.7999999999999999,20m,41k,86m,120k,13g,13g,100s,1s,6,false,0.8999999999999999,false,false,0.9999999999999999
127,2466666,10,10,69m,93k,370,980ms,1,0.6,6m,71k,108m,60k,12g,16g,500s,5s,6,true,0.8999999999999999,false,true,0.7999999999999999
128,1833333,20,20,78m,114k,330,940ms,1,0.9999999999999999,14m,99k,68m,28k,14g,8g,180s,8s,8,false,0.8999999999999999,false,true,0.5
129,1833333,30,30,110m,70k,960,680ms,4,0.5,48m,89k,54m,104k,13g,10g,400s,5s,8,true,0.7999999999999999,false,false,0.9999999999999999
130,2466666,20,20,121m,40k,970,340ms,4,0.5,18m,118k,62m,40k,12g,16g,480s,3s,4,false,0.9999999999999999,false,true,0.6
131,2466666,30,30,90m,44k,640,610ms,4,0.7999999999999999,36m,36k,56m,104k,9g,13g,200s,6s,2,true,0.8999999999999999,false,false,0.9999999999999999
132,2466666,30,30,108m,57k,850,390ms,5,0.8999999999999999,42m,67k,106m,64k,12g,18g,80s,5s,1,true,0.7,true,false,0.5
133,3100000,30,30,64m,56k,770,900ms,1,0.8999999999999999,32m,48k,76m,68k,9g,17g,100s,7s,6,false,0.9999999999999999,true,true,0.7999999999999999
134,1200000,10,10,50m,25k,680,840ms,2,0.7999999999999999,62m,37k,100m,104k,8g,15g,380s,8s,2,true,0.8999999999999999,false,false,0.6
135,1200000,15,15,91m,84k,530,970ms,3,0.7,58m,62k,92m,64k,10g,13g,220s,3s,4,true,0.9999999999999999,true,true,0.9999999999999999
136,2466666,15,15,98m,52k,680,770ms,3,0.8999999999999999,54m,107k,24m,38k,13g,8g,60s,5s,2,false,0.7,true,false,0.7
137,2466666,20,20,108m,35k,610,310ms,1,0.9999999999999999,34m,108k,114m,62k,11g,17g,420s,9s,5,true,0.5,true,true,0.5
138,2466666,30,30,127m,91k,940,780ms,2,0.7,10m,63k,32m,80k,11g,8g,320s,1s,8,false,0.7999999999999999,false,true,0.8999999999999999
139,1833333,30,30,24m,51k,600,560ms,3,0.7,14m,122k,52m,46k,8g,12g,20s,8s,8,false,0.7999999999999999,true,false,0.8999999999999999
140,1200000,30,30,99m,53k,320,640ms,5,0.6,24m,55k,50m,54k,12g,16g,320s,3s,5,false,0.8999999999999999,true,false,0.5
141,1833333,15,15,114m,38k,350,370ms,2,0.7,32m,103k,34m,82k,14g,15g,180s,7s,1,false,0.5,true,false,0.7
142,1833333,30,30,78m,110k,750,690ms,2,0.9999999999999999,34m,93k,110m,34k,9g,10g,60s,10s,8,false,0.6,false,false,0.8999999999999999
143,3100000,15,15,103m,28k,220,310ms,4,0.7999999999999999,50m,65k,86m,48k,8g,8g,120s,7s,6,false,0.5,true,true,0.9999999999999999
144,1833333,10,10,50m,108k,840,560ms,2,0.6,36m,67k,80m,104k,14g,9g,140s,3s,2,true,0.8999999999999999,true,false,0.6
145,1833333,30,30,98m,54k,140,310ms,2,0.7999999999999999,44m,46k,94m,60k,12g,9g,380s,10s,1,true,0.5,true,false,0.5
146,3100000,20,20,94m,80k,700,680ms,2,0.8999999999999999,58m,115k,86m,38k,14g,8g,400s,8s,6,true,0.9999999999999999,true,true,0.7999999999999999
147,1833333,20,20,105m,106k,970,230ms,2,0.9999999999999999,44m,54k,104m,106k,11g,17g,460s,2s,2,true,0.8999999999999999,true,false,0.7
148,2466666,20,20,89m,102k,600,130ms,5,0.5,36m,93k,74m,128k,14g,16g,380s,8s,4,false,0.7999999999999999,false,true,0.8999999999999999
149,1833333,30,30,34m,39k,970,160ms,5,0.9999999999999999,34m,58k,58m,96k,9g,10g,460s,9s,2,false,0.7,true,true,0.7
150,3100000,15,15,32m,106k,110,610ms,2,0.8999999999999999,4m,39k,88m,96k,8g,11g,440s,5s,8,true,0.5,false,true,0.6
151,1200000,15,15,37m,119k,610,550ms,5,0.9999999999999999,44m,125k,82m,80k,10g,15g,240s,9s,7,true,0.8999999999999999,false,true,0.7999999999999999
152,1833333,20,20,116m,33k,560,260ms,3,0.5,34m,68k,120m,44k,13g,17g,420s,7s,4,false,0.6,true,false,0.8999999999999999
153,1200000,10,10,103m,86k,460,570ms,3,0.9999999999999999,44m,110k,98m,74k,13g,12g,320s,4s,3,false,0.5,false,false,0.8999999999999999
154,3100000,20,20,80m,36k,590,550ms,4,0.5,14m,46k,92m,110k,12g,14g,380s,6s,1,true,0.7,false,false,0.9999999999999999
155,3100000,20,20,31m,113k,970,790ms,2,0.5,14m,73k,30m,120k,13g,17g,240s,7s,6,true,0.5,true,true,0.7
156,3100000,15,15,32m,92k,120,770ms,4,0.6,8m,56k,128m,62k,10g,9g,440s,5s,2,true,0.7,true,false,0.8999999999999999
157,2466666,30,30,30m,73k,240,430ms,5,0.7,58m,65k,30m,90k,11g,15g,420s,5s,8,false,0.5,true,false,0.7999999999999999
158,3100000,15,15,116m,126k,160,310ms,4,0.9999999999999999,12m,61k,72m,94k,14g,16g,80s,4s,3,false,0.6,true,true,0.6
159,1833333,15,15,125m,60k,990,420ms,5,0.7999999999999999,50m,100k,62m,46k,8g,12g,140s,5s,3,true,0.8999999999999999,false,false,0.9999999999999999
160,1200000,20,20,120m,112k,660,450ms,5,0.6,36m,122k,98m,98k,9g,16g,340s,3s,1,true,0.9999999999999999,false,true,0.5
161,2466666,10,10,43m,128k,640,390ms,4,0.7999999999999999,38m,28k,46m,72k,12g,17g,220s,4s,7,true,0.7,true,false,0.7999999999999999
162,3100000,20,20,58m,107k,280,140ms,3,0.9999999999999999,52m,71k,90m,80k,14g,18g,400s,10s,3,true,0.8999999999999999,false,false,0.6
163,2466666,10,10,45m,84k,350,990ms,3,0.7,56m,108k,104m,76k,9g,18g,160s,1s,1,false,0.9999999999999999,false,true,0.7999999999999999
164,1833333,20,20,80m,68k,120,500ms,2,0.9999999999999999,52m,72k,72m,42k,8g,10g,340s,3s,8,true,0.7,true,true,0.5
165,1833333,20,20,64m,49k,890,200ms,1,0.7999999999999999,30m,47k,112m,124k,9g,9g,480s,3s,6,false,0.8999999999999999,false,false,0.5
166,1200000,15,15,98m,108k,680,360ms,2,0.7999999999999999,64m,58k,32m,60k,13g,10g,180s,5s,1,false,0.5,false,false,0.9999999999999999
167,3100000,20,20,68m,31k,520,110ms,5,0.6,62m,40k,106m,102k,8g,12g,220s,9s,6,true,0.9999999999999999,true,true,0.7
168,2466666,10,10,61m,46k,480,970ms,1,0.5,38m,68k,128m,62k,10g,12g,200s,9s,4,false,0.7,true,true,0.5
169,2466666,20,20,50m,127k,570,670ms,2,0.8999999999999999,14m,109k,116m,114k,11g,18g,260s,3s,6,true,0.8999999999999999,true,false,0.7999999999999999
170,2466666,10,10,24m,104k,600,750ms,3,0.6,20m,55k,112m,82k,8g,16g,100s,2s,3,false,0.8999999999999999,true,false,0.7999999999999999
171,2466666,20,20,122m,82k,110,620ms,2,0.8999999999999999,32m,38k,72m,104k,8g,17g,400s,8s,5,false,0.5,true,false,0.8999999999999999
172,1833333,15,15,113m,59k,350,340ms,4,0.5,44m,40k,86m,104k,10g,10g,40s,7s,4,true,0.5,true,false,0.7
173,1833333,20,20,57m,82k,910,790ms,2,0.8999999999999999,20m,122k,110m,124k,8g,9g,60s,5s,6,true,0.6,true,false,0.6
174,1833333,30,30,104m,111k,880,190ms,5,0.9999999999999999,56m,63k,90m,44k,9g,9g,440s,1s,5,false,0.6,true,true,0.5
175,2466666,10,10,101m,47k,390,270ms,4,0.7,10m,58k,38m,74k,8g,15g,180s,2s,2,true,0.9999999999999999,false,true,0.7
176,2466666,15,15,68m,38k,700,150ms,5,0.6,14m,62k,90m,80k,12g,13g,40s,4s,3,true,0.5,false,true,0.7
177,3100000,10,10,50m,40k,550,560ms,3,0.6,44m,78k,128m,112k,13g,16g,120s,3s,3,false,0.9999999999999999,true,false,0.9999999999999999
