,cpufreq,uncore_min,uncore_max,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.shuffle.sort.bypassMergeThreshold,spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,spark.broadcast.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer.max,spark.kryoserializer.buffer,spark.driver.memory,spark.executor.memory,spark.network.timeout,spark.locality.wait,spark.task.maxFailures,spark.shuffle.compress,spark.memory.fraction,spark.shuffle.spill.compress,spark.broadcast.compress,spark.memory.storageFraction
37,3000000,30,30,93m,36k,420,540ms,3,0.8999999999999999,58m,91k,110m,80k,10g,9g,280s,10s,7,true,0.5,true,false,0.9999999999999999
38,1800000,15,15,84m,108k,990,630ms,1,0.9999999999999999,22m,54k,48m,56k,13g,18g,360s,2s,1,true,0.5,true,false,0.8999999999999999
39,2400000,15,15,127m,42k,360,520ms,1,0.9999999999999999,52m,114k,118m,78k,13g,16g,120s,1s,6,true,0.9999999999999999,true,false,0.9999999999999999
40,3000000,20,20,57m,113k,400,330ms,5,0.6,6m,128k,124m,124k,8g,15g,360s,7s,5,false,0.6,false,false,0.7999999999999999
41,3000000,20,20,103m,117k,450,400ms,3,0.9999999999999999,16m,124k,102m,66k,8g,11g,480s,7s,1,true,0.6,false,true,0.8999999999999999
42,1800000,20,20,25m,78k,500,520ms,2,0.7999999999999999,38m,67k,90m,108k,12g,15g,420s,10s,3,true,0.8999999999999999,true,true,0.5
43,3000000,30,30,91m,61k,310,930ms,2,0.7,34m,55k,28m,36k,11g,8g,160s,3s,7,true,0.9999999999999999,false,true,0.8999999999999999
44,1200000,20,20,121m,86k,710,860ms,3,0.8999999999999999,46m,25k,68m,88k,10g,13g,60s,2s,4,true,0.8999999999999999,false,false,0.7
45,2400000,30,30,79m,56k,990,880ms,2,0.7999999999999999,4m,25k,54m,48k,14g,10g,400s,4s,4,false,0.7999999999999999,false,true,0.7999999999999999
46,3000000,20,20,49m,45k,850,920ms,1,0.8999999999999999,60m,35k,104m,128k,13g,16g,260s,6s,8,false,0.6,true,true,0.7999999999999999
47,1800000,10,10,36m,55k,630,170ms,3,0.5,52m,51k,120m,54k,8g,16g,200s,6s,4,false,0.7999999999999999,false,true,0.7
48,2400000,20,20,89m,51k,360,210ms,2,0.7,8m,77k,112m,64k,13g,10g,260s,4s,3,false,0.8999999999999999,false,false,0.6
49,3000000,15,15,49m,63k,780,910ms,2,0.5,38m,54k,52m,126k,9g,13g,380s,3s,2,false,0.6,true,false,0.8999999999999999
50,1800000,15,15,86m,70k,430,450ms,5,0.6,14m,33k,56m,124k,14g,16g,460s,10s,6,true,0.5,false,true,0.7999999999999999
51,1800000,30,30,58m,111k,880,150ms,2,0.8999999999999999,4m,46k,82m,46k,11g,11g,220s,2s,4,true,0.6,false,true,0.9999999999999999
52,2400000,30,30,108m,92k,450,650ms,3,0.6,52m,105k,118m,92k,12g,10g,80s,4s,2,true,0.8999999999999999,false,false,0.9999999999999999
53,3000000,10,10,65m,36k,590,610ms,1,0.6,50m,76k,50m,102k,11g,17g,420s,10s,8,true,0.9999999999999999,false,false,0.6
54,1200000,20,20,45m,77k,770,260ms,4,0.7999999999999999,48m,105k,114m,76k,10g,13g,60s,2s,6,true,0.6,true,true,0.8999999999999999
55,1200000,30,30,85m,51k,480,870ms,3,0.6,38m,68k,96m,126k,12g,8g,60s,2s,1,true,0.5,false,false,0.5
56,1800000,10,10,94m,98k,520,530ms,4,0.8999999999999999,18m,80k,120m,118k,8g,8g,400s,3s,4,true,0.9999999999999999,true,true,0.5
57,2400000,30,30,92m,102k,900,890ms,3,0.5,18m,122k,70m,68k,13g,8g,500s,4s,5,false,0.7999999999999999,false,false,0.8999999999999999
58,3000000,15,15,85m,46k,580,1000ms,5,0.8999999999999999,54m,108k,94m,102k,8g,16g,220s,4s,6,true,0.7,true,false,0.5
59,1800000,15,15,62m,75k,1000,720ms,1,0.7,56m,32k,88m,120k,14g,17g,180s,8s,1,true,0.7999999999999999,false,true,0.7999999999999999
60,1200000,10,10,108m,69k,720,640ms,4,0.5,64m,88k,64m,104k,8g,13g,400s,9s,7,false,0.7999999999999999,false,false,0.7
61,1800000,20,20,117m,100k,210,470ms,3,0.8999999999999999,16m,60k,124m,90k,10g,15g,460s,10s,2,false,0.7999999999999999,false,false,0.6
62,1200000,10,10,34m,38k,990,980ms,4,0.7999999999999999,34m,80k,100m,100k,10g,11g,460s,4s,3,true,0.9999999999999999,false,true,0.6
63,2400000,10,10,106m,117k,960,700ms,4,0.9999999999999999,46m,64k,50m,118k,12g,15g,40s,9s,1,false,0.6,false,false,0.7
64,1800000,30,30,40m,35k,240,640ms,4,0.9999999999999999,34m,93k,90m,74k,12g,9g,80s,7s,4,false,0.7,true,false,0.6
65,1200000,15,15,68m,122k,810,820ms,4,0.6,58m,126k,86m,104k,13g,15g,140s,2s,6,true,0.8999999999999999,false,false,0.6
66,2400000,15,15,105m,51k,140,350ms,5,0.7,6m,86k,64m,112k,8g,11g,180s,2s,3,false,0.7999999999999999,false,true,0.9999999999999999
67,1800000,30,30,27m,79k,520,670ms,4,0.9999999999999999,58m,31k,114m,96k,11g,9g,260s,5s,8,false,0.5,true,true,0.5
68,3000000,10,10,76m,43k,140,160ms,2,0.8999999999999999,6m,62k,68m,118k,8g,13g,320s,4s,6,true,0.9999999999999999,true,true,0.8999999999999999
69,1200000,20,20,94m,56k,580,230ms,4,0.9999999999999999,10m,71k,74m,114k,11g,11g,380s,4s,6,true,0.5,true,true,0.9999999999999999
70,3000000,30,30,109m,128k,970,380ms,5,0.8999999999999999,16m,86k,128m,90k,12g,16g,420s,8s,5,false,0.8999999999999999,true,true,0.9999999999999999
71,1800000,30,30,41m,84k,190,160ms,1,0.9999999999999999,32m,101k,100m,76k,9g,16g,60s,1s,3,true,0.7,true,false,0.7
72,1200000,30,30,79m,58k,640,110ms,3,0.7999999999999999,4m,71k,46m,78k,13g,11g,480s,1s,5,false,0.8999999999999999,true,true,0.5
73,3000000,20,20,98m,90k,240,360ms,1,0.5,50m,45k,50m,34k,11g,15g,240s,7s,1,false,0.8999999999999999,true,true,0.9999999999999999
74,1200000,15,15,58m,79k,620,860ms,2,0.9999999999999999,60m,115k,66m,104k,11g,18g,220s,4s,4,true,0.8999999999999999,false,false,0.9999999999999999
75,1200000,10,10,87m,47k,560,840ms,1,0.5,12m,97k,34m,90k,12g,11g,300s,4s,7,true,0.5,false,true,0.7
76,1200000,30,30,101m,45k,600,880ms,2,0.5,40m,28k,60m,106k,10g,17g,380s,5s,6,false,0.6,false,true,0.7
77,3000000,10,10,88m,105k,400,880ms,4,0.9999999999999999,16m,54k,106m,124k,8g,11g,80s,5s,8,true,0.6,true,false,0.7
78,2400000,15,15,109m,50k,830,510ms,2,0.5,4m,26k,122m,54k,9g,13g,480s,8s,5,true,0.9999999999999999,false,true,0.9999999999999999
79,2400000,20,20,122m,121k,270,570ms,5,0.6,60m,31k,94m,54k,10g,16g,220s,4s,1,true,0.7999999999999999,true,false,0.7999999999999999
80,1800000,20,20,105m,51k,710,670ms,1,0.9999999999999999,24m,74k,70m,86k,11g,8g,80s,3s,5,false,0.9999999999999999,false,false,0.5
81,2400000,10,10,59m,105k,330,550ms,5,0.8999999999999999,26m,105k,42m,30k,14g,9g,180s,1s,6,true,0.7,false,true,0.5
82,1800000,10,10,124m,24k,650,220ms,1,0.9999999999999999,44m,44k,30m,30k,13g,11g,200s,3s,8,false,0.6,false,false,0.5
83,1200000,10,10,77m,72k,230,390ms,1,0.7,58m,51k,82m,84k,13g,14g,320s,5s,6,false,0.6,true,true,0.9999999999999999
84,2400000,10,10,122m,55k,870,560ms,3,0.7,20m,24k,52m,78k,10g,10g,360s,6s,1,false,0.8999999999999999,false,false,0.6
85,3000000,20,20,95m,93k,780,240ms,3,0.8999999999999999,18m,68k,70m,66k,12g,12g,80s,1s,7,true,0.9999999999999999,true,false,0.6
86,1200000,15,15,75m,123k,590,230ms,1,0.7,44m,99k,42m,66k,8g,12g,340s,4s,5,true,0.9999999999999999,false,false,0.5
87,1200000,15,15,106m,35k,490,930ms,5,0.8999999999999999,4m,110k,24m,38k,12g,16g,160s,2s,1,false,0.8999999999999999,true,true,0.6
88,1200000,10,10,41m,108k,140,840ms,2,0.8999999999999999,60m,118k,68m,82k,13g,14g,300s,4s,6,true,0.7,false,true,0.7999999999999999
89,1800000,15,15,63m,126k,600,920ms,1,0.6,16m,127k,62m,98k,14g,15g,320s,7s,1,true,0.9999999999999999,false,false,0.8999999999999999
90,1200000,15,15,86m,119k,200,700ms,5,0.5,42m,92k,116m,108k,12g,13g,500s,10s,6,false,0.5,true,true,0.8999999999999999
91,2400000,10,10,127m,92k,660,740ms,1,0.8999999999999999,20m,52k,114m,46k,14g,9g,440s,7s,1,false,0.7999999999999999,false,true,0.6
92,3000000,30,30,68m,115k,930,500ms,3,0.7999999999999999,58m,83k,116m,112k,9g,14g,260s,1s,8,true,0.9999999999999999,true,true,0.8999999999999999
93,2400000,30,30,95m,69k,430,630ms,3,0.8999999999999999,42m,42k,66m,90k,9g,18g,100s,7s,7,true,0.7999999999999999,false,false,0.6
94,1800000,20,20,116m,42k,560,320ms,5,0.7,16m,50k,32m,118k,9g,11g,40s,8s,7,true,0.5,false,false,0.6
95,3000000,30,30,104m,47k,710,330ms,2,0.7999999999999999,36m,50k,34m,62k,9g,15g,120s,5s,7,false,0.7,true,false,0.6
96,3000000,30,30,82m,63k,200,290ms,5,0.7999999999999999,58m,113k,32m,48k,13g,10g,480s,5s,3,false,0.8999999999999999,false,true,0.7
97,1800000,15,15,56m,45k,610,850ms,2,0.6,44m,66k,106m,102k,11g,11g,340s,8s,4,false,0.9999999999999999,false,true,0.9999999999999999
98,3000000,20,20,115m,104k,410,150ms,3,0.8999999999999999,8m,46k,76m,42k,13g,16g,480s,8s,5,true,0.5,false,true,0.8999999999999999
99,1200000,30,30,33m,49k,120,920ms,5,0.5,32m,80k,104m,118k,8g,15g,140s,8s,8,false,0.8999999999999999,true,true,0.7999999999999999
100,3000000,10,10,103m,41k,350,420ms,1,0.7,44m,70k,92m,100k,10g,18g,500s,9s,7,false,0.7999999999999999,false,false,0.9999999999999999
101,3000000,20,20,84m,34k,330,180ms,4,0.7999999999999999,52m,118k,40m,106k,10g,16g,500s,2s,2,true,0.7,true,false,0.9999999999999999
102,2400000,15,15,101m,39k,660,590ms,3,0.7999999999999999,6m,30k,46m,40k,10g,12g,300s,7s,1,false,0.6,false,false,0.6
103,3000000,30,30,27m,79k,180,920ms,1,0.5,12m,57k,108m,118k,11g,12g,400s,2s,8,true,0.9999999999999999,true,true,0.8999999999999999
104,1200000,10,10,86m,120k,960,600ms,1,0.6,62m,83k,124m,106k,12g,9g,420s,10s,3,true,0.5,true,false,0.5
105,2400000,10,10,34m,106k,260,340ms,4,0.7,40m,100k,44m,48k,14g,10g,120s,10s,8,false,0.7999999999999999,false,true,0.9999999999999999
106,3000000,10,10,60m,75k,350,860ms,2,0.6,10m,46k,74m,38k,8g,16g,120s,10s,7,false,0.7999999999999999,false,false,0.9999999999999999
107,3000000,15,15,54m,37k,910,720ms,3,0.9999999999999999,48m,32k,42m,76k,12g,9g,320s,10s,5,false,0.5,true,false,0.9999999999999999
108,1800000,10,10,82m,70k,980,510ms,1,0.9999999999999999,40m,103k,122m,66k,8g,15g,340s,4s,1,false,0.9999999999999999,true,false,0.9999999999999999
109,1200000,30,30,89m,44k,300,100ms,1,0.8999999999999999,18m,102k,54m,100k,10g,12g,220s,9s,5,true,0.7999999999999999,true,false,0.8999999999999999
110,3000000,15,15,93m,77k,830,620ms,5,0.6,24m,45k,72m,74k,13g,15g,80s,1s,2,true,0.6,false,false,0.6
111,1800000,20,20,106m,62k,640,720ms,1,0.9999999999999999,36m,50k,118m,82k,11g,15g,280s,7s,6,true,0.6,true,true,0.7999999999999999
112,3000000,20,20,63m,106k,490,450ms,4,0.6,6m,43k,122m,68k,12g,11g,280s,6s,8,true,0.6,false,true,0.9999999999999999
113,2400000,10,10,107m,56k,380,770ms,3,0.8999999999999999,40m,109k,106m,66k,13g,18g,140s,2s,8,true,0.6,true,true,0.7999999999999999
114,1800000,10,10,117m,45k,850,360ms,1,0.6,36m,77k,60m,120k,12g,15g,220s,10s,7,true,0.5,true,true,0.7999999999999999
115,3000000,20,20,118m,103k,380,760ms,1,0.8999999999999999,52m,69k,26m,76k,10g,18g,260s,9s,1,false,0.8999999999999999,false,false,0.6
116,1800000,20,20,98m,81k,950,470ms,1,0.8999999999999999,10m,82k,78m,100k,14g,14g,160s,3s,4,true,0.6,true,false,0.8999999999999999
117,1800000,10,10,78m,87k,860,120ms,2,0.5,10m,30k,38m,30k,14g,18g,160s,10s,2,false,0.5,true,true,0.5
118,3000000,15,15,94m,114k,260,380ms,3,0.7999999999999999,22m,110k,98m,66k,13g,10g,340s,3s,5,true,0.7,false,true,0.7999999999999999
119,1200000,20,20,88m,104k,400,470ms,3,0.9999999999999999,18m,70k,96m,38k,11g,8g,420s,7s,2,true,0.7,false,true,0.6
120,3000000,30,30,28m,79k,700,660ms,2,0.5,30m,111k,76m,108k,12g,11g,420s,9s,5,false,0.6,true,false,0.5
121,3000000,10,10,30m,69k,630,550ms,3,0.6,34m,41k,50m,66k,14g,17g,420s,1s,4,true,0.6,true,false,0.7
122,1200000,10,10,60m,30k,210,430ms,2,0.7,44m,63k,114m,82k,8g,18g,480s,1s,1,false,0.5,false,true,0.6
123,1200000,15,15,28m,54k,870,510ms,5,0.8999999999999999,64m,84k,28m,32k,8g,11g,240s,9s,3,true,0.8999999999999999,false,false,0.9999999999999999
124,3000000,10,10,64m,121k,170,320ms,3,0.7,10m,59k,92m,42k,9g,16g,260s,7s,6,true,0.8999999999999999,true,false,0.9999999999999999
125,1800000,10,10,125m,90k,970,250ms,3,0.6,64m,46k,72m,102k,14g,15g,480s,5s,7,false,0.7,false,true,0.5
126,2400000,10,10,119m,57k,790,920ms,2,0.6,44m,128k,40m,52k,8g,12g,480s,8s,2,true,0.9999999999999999,false,true,0.7999999999999999
127,1800000,15,15,93m,51k,620,260ms,1,0.8999999999999999,14m,65k,72m,62k,12g,12g,300s,5s,7,false,0.9999999999999999,true,false,0.5
128,2400000,20,20,42m,78k,540,190ms,4,0.8999999999999999,28m,75k,66m,114k,8g,8g,300s,6s,2,false,0.5,true,false,0.8999999999999999
129,1200000,15,15,115m,64k,490,190ms,4,0.6,64m,112k,106m,52k,9g,17g,40s,8s,6,false,0.8999999999999999,true,false,0.7
130,3000000,30,30,105m,38k,950,290ms,5,0.7999999999999999,46m,40k,38m,122k,13g,11g,280s,7s,6,false,0.8999999999999999,false,true,0.7
131,1200000,15,15,73m,125k,660,870ms,2,0.6,46m,114k,34m,124k,10g,13g,180s,10s,2,false,0.8999999999999999,true,true,0.6
132,2400000,20,20,105m,117k,320,340ms,1,0.8999999999999999,12m,54k,42m,44k,10g,17g,360s,8s,3,false,0.6,true,false,0.6
133,3000000,20,20,30m,128k,900,100ms,5,0.9999999999999999,58m,108k,44m,56k,12g,13g,240s,2s,4,false,0.7999999999999999,false,true,0.8999999999999999
134,2400000,30,30,48m,63k,830,440ms,3,0.6,32m,69k,32m,80k,11g,16g,200s,1s,5,true,0.7999999999999999,true,false,0.7
135,3000000,10,10,69m,37k,850,830ms,4,0.5,54m,114k,54m,46k,14g,8g,100s,2s,7,false,0.7999999999999999,false,false,0.5
136,1800000,10,10,119m,100k,680,180ms,3,0.7999999999999999,56m,39k,114m,64k,10g,14g,160s,2s,4,true,0.7,false,false,0.9999999999999999
137,1800000,30,30,89m,54k,840,600ms,4,0.8999999999999999,52m,45k,126m,120k,8g,9g,80s,1s,5,true,0.7999999999999999,true,true,0.5
138,3000000,15,15,86m,29k,320,810ms,1,0.8999999999999999,44m,38k,94m,90k,8g,8g,180s,4s,7,false,0.6,false,false,0.7999999999999999
139,1200000,20,20,112m,35k,380,980ms,1,0.7,56m,25k,42m,24k,9g,14g,400s,6s,5,true,0.7999999999999999,true,true,0.9999999999999999
140,3000000,15,15,67m,57k,800,270ms,3,0.6,22m,29k,112m,64k,10g,10g,440s,6s,7,false,0.8999999999999999,true,true,0.5
141,2400000,30,30,85m,91k,520,320ms,2,0.9999999999999999,26m,49k,78m,44k,12g,10g,220s,9s,1,true,0.6,false,false,0.7999999999999999
142,3000000,30,30,85m,58k,370,910ms,5,0.8999999999999999,44m,33k,78m,126k,14g,17g,440s,7s,4,true,0.8999999999999999,false,true,0.9999999999999999
143,2400000,15,15,38m,44k,530,300ms,5,0.5,8m,27k,42m,92k,14g,16g,180s,5s,8,true,0.6,true,false,0.8999999999999999
144,1200000,30,30,57m,118k,280,630ms,4,0.6,12m,116k,34m,102k,10g,15g,360s,10s,7,true,0.7999999999999999,true,true,0.5
145,1200000,10,10,31m,67k,140,570ms,2,0.6,56m,35k,24m,28k,13g,11g,260s,10s,2,true,0.8999999999999999,false,false,0.9999999999999999
146,2400000,15,15,43m,108k,350,430ms,4,0.5,44m,114k,88m,90k,13g,8g,200s,1s,7,true,0.9999999999999999,true,false,0.9999999999999999
147,1200000,10,10,55m,67k,590,690ms,3,0.8999999999999999,64m,50k,100m,32k,13g,15g,160s,4s,4,true,0.7999999999999999,true,true,0.9999999999999999
148,2400000,15,15,39m,103k,700,450ms,5,0.7,26m,64k,38m,90k,13g,8g,500s,9s,6,true,0.7,false,false,0.7
149,1800000,30,30,125m,45k,410,150ms,4,0.9999999999999999,14m,27k,78m,40k,13g,18g,280s,6s,4,true,0.6,false,true,0.7999999999999999
150,1800000,10,10,33m,106k,280,110ms,3,0.5,64m,41k,68m,100k,11g,16g,420s,1s,4,false,0.8999999999999999,true,true,0.6
151,1200000,20,20,45m,35k,820,470ms,2,0.6,62m,80k,94m,112k,11g,18g,120s,1s,5,false,0.8999999999999999,false,true,0.9999999999999999
152,1200000,30,30,121m,87k,510,770ms,4,0.7999999999999999,50m,108k,106m,78k,14g,8g,420s,4s,1,true,0.6,true,true,0.5
153,1800000,20,20,113m,76k,560,120ms,1,0.7999999999999999,34m,25k,28m,84k,12g,12g,360s,2s,7,true,0.7999999999999999,true,true,0.6
154,1200000,10,10,78m,115k,550,620ms,2,0.6,64m,68k,124m,62k,14g,12g,340s,1s,4,false,0.6,false,true,0.5
155,2400000,15,15,97m,87k,530,840ms,2,0.6,44m,128k,110m,96k,8g,10g,180s,10s,1,false,0.5,false,true,0.5
156,2400000,10,10,127m,75k,160,830ms,2,0.7999999999999999,44m,29k,92m,34k,8g,18g,20s,9s,6,true,0.6,false,true,0.5
157,1800000,20,20,60m,74k,550,950ms,2,0.6,64m,50k,60m,118k,14g,8g,20s,5s,6,true,0.7,false,true,0.9999999999999999
158,1800000,15,15,81m,67k,810,910ms,2,0.7999999999999999,10m,86k,60m,100k,8g,10g,400s,5s,5,true,0.6,true,false,0.6
159,2400000,30,30,59m,70k,840,320ms,4,0.8999999999999999,50m,121k,30m,48k,9g,11g,60s,7s,1,true,0.6,true,false,0.5
160,3000000,10,10,83m,84k,850,830ms,4,0.6,58m,78k,40m,98k,9g,10g,100s,6s,3,true,0.7999999999999999,false,true,0.7999999999999999
161,2400000,30,30,80m,87k,900,730ms,1,0.8999999999999999,54m,37k,94m,110k,12g,10g,140s,3s,8,true,0.7,false,false,0.6
162,2400000,15,15,59m,43k,860,120ms,1,0.7999999999999999,52m,34k,86m,60k,8g,17g,400s,1s,1,false,0.7999999999999999,true,false,0.7
163,1200000,30,30,65m,75k,280,820ms,4,0.7999999999999999,18m,25k,38m,110k,12g,11g,500s,9s,6,true,0.5,true,true,0.5
164,1800000,30,30,58m,64k,730,750ms,3,0.9999999999999999,32m,46k,100m,40k,12g,16g,280s,2s,3,false,0.9999999999999999,true,true,0.7999999999999999
165,2400000,20,20,75m,91k,320,100ms,3,0.7999999999999999,14m,119k,80m,76k,10g,14g,200s,1s,2,true,0.7,true,true,0.6
166,1800000,30,30,109m,102k,650,870ms,1,0.9999999999999999,50m,57k,128m,114k,11g,18g,60s,6s,6,false,0.5,false,false,0.9999999999999999
167,3000000,10,10,128m,89k,480,900ms,2,0.9999999999999999,38m,101k,88m,58k,11g,14g,40s,9s,6,false,0.5,true,true,0.6
168,3000000,10,10,43m,114k,420,690ms,2,0.8999999999999999,26m,118k,124m,106k,11g,13g,220s,6s,4,false,0.7999999999999999,true,true,0.6
169,2400000,15,15,123m,42k,450,510ms,4,0.9999999999999999,20m,86k,84m,28k,13g,14g,320s,6s,1,true,0.7999999999999999,false,true,0.8999999999999999
170,1200000,30,30,89m,65k,260,470ms,1,0.6,24m,33k,82m,100k,8g,11g,20s,10s,6,false,0.8999999999999999,false,true,0.8999999999999999
171,2400000,20,20,87m,97k,850,220ms,2,0.7999999999999999,40m,97k,86m,112k,11g,9g,500s,8s,4,false,0.7,true,true,0.9999999999999999
172,3000000,15,15,89m,98k,740,500ms,3,0.9999999999999999,62m,39k,26m,72k,14g,13g,180s,2s,5,true,0.9999999999999999,true,true,0.6
173,3000000,15,15,62m,71k,910,660ms,5,0.9999999999999999,12m,71k,52m,86k,12g,10g,60s,3s,3,true,0.6,true,false,0.9999999999999999
174,1200000,20,20,62m,37k,740,290ms,1,0.7,4m,24k,24m,124k,10g,12g,400s,10s,6,true,0.5,true,false,0.7
175,1800000,15,15,37m,87k,630,460ms,2,0.9999999999999999,6m,35k,100m,80k,14g,10g,500s,3s,7,true,0.7,true,true,0.9999999999999999
176,1800000,30,30,111m,59k,420,530ms,3,0.5,32m,85k,44m,96k,9g,9g,340s,6s,7,false,0.5,false,true,0.7
