,cpufreq,uncore_min,uncore_max,reducermaxSizeInFlight,shufflefilebuffer,shufflesortbypassMergeThreshold,speculationinterval,speculationmultiplier,speculationquantile,broadcastblockSize,iocompressionsnappyblockSize,kryoserializerbuffermax,kryoserializerbuffer,drivermemory,executormemory,networktimeout,localitywait,taskmaxFailures,shufflecompress,memoryfraction,shufflespillcompress,broadcastcompress,memorystorageFraction
37,1833333,20,20,118,74,920,470,5,1.0,16,32,38,58,13,14,280,4,5,0,0.7999999999999999,0,0,1.0
38,1833333,15,15,87,41,530,990,5,0.5,16,103,28,54,14,12,240,4,5,1,0.7999999999999999,0,0,0.5
39,1200000,15,15,46,92,110,400,1,1.0,14,121,74,74,14,14,280,9,5,0,0.8999999999999999,0,0,0.6
40,3100000,30,30,85,75,840,580,5,0.7999999999999999,64,26,30,124,11,11,240,2,7,0,1.0,1,0,0.5
41,2466666,10,10,63,46,140,330,3,0.5,12,114,34,66,9,9,400,10,5,1,0.7,1,1,0.5
42,1200000,15,15,54,99,940,400,2,0.7999999999999999,50,36,76,38,14,18,340,9,4,1,0.5,0,1,0.5
43,3100000,15,15,98,123,790,430,5,0.8999999999999999,48,92,126,34,14,13,320,9,8,0,0.8999999999999999,1,1,0.7999999999999999
44,3100000,30,30,88,77,620,440,4,0.6,64,27,98,76,10,12,300,10,3,1,0.6,0,1,0.7999999999999999
45,3100000,30,30,91,39,260,640,5,0.8999999999999999,50,48,68,70,14,15,500,6,1,1,0.6,0,0,0.7
46,2466666,30,30,62,60,460,150,2,0.8999999999999999,46,54,76,124,12,18,260,2,5,0,1.0,0,0,1.0
47,2466666,30,30,104,96,350,520,4,0.7,16,78,46,96,9,18,20,10,7,0,0.8999999999999999,1,0,0.8999999999999999
48,1833333,10,10,24,42,750,930,3,0.7,28,65,78,40,11,15,480,7,1,0,1.0,1,1,0.6
49,3100000,15,15,29,26,520,240,5,0.8999999999999999,50,111,118,122,13,11,80,2,7,0,1.0,1,0,0.5
50,2466666,30,30,99,54,760,760,1,0.6,38,46,112,34,11,10,80,8,6,0,0.7,0,1,0.8999999999999999
51,1833333,20,20,66,24,330,590,2,1.0,38,48,54,36,10,15,220,5,1,0,0.5,1,0,0.6
52,1833333,15,15,95,33,540,530,3,0.7,64,36,26,102,12,15,120,1,4,1,0.7999999999999999,0,1,0.8999999999999999
53,3100000,30,30,50,50,720,870,1,0.7999999999999999,60,121,88,44,14,13,160,10,1,0,0.8999999999999999,1,1,0.6
54,2466666,20,20,58,116,410,360,2,0.7,56,124,116,52,9,17,180,7,2,0,0.7999999999999999,1,0,0.5
55,1200000,15,15,38,40,600,670,1,0.7,40,25,78,46,13,18,460,8,3,0,0.5,1,0,0.5
56,3100000,15,15,109,26,680,140,3,0.7999999999999999,28,66,84,118,8,17,40,9,7,0,0.6,0,0,0.5
57,1200000,20,20,86,81,720,260,2,0.6,44,35,84,106,10,8,240,5,1,1,1.0,0,1,0.5
58,2466666,30,30,33,82,800,670,1,0.5,54,50,114,108,11,13,500,5,2,1,0.7999999999999999,1,0,0.5
59,1833333,30,30,124,35,560,520,1,1.0,32,73,70,98,11,12,400,8,2,1,1.0,0,1,1.0
60,3100000,10,10,89,52,750,830,5,1.0,38,39,50,46,8,14,240,7,1,1,0.5,1,0,0.5
61,1833333,30,30,86,40,860,500,5,1.0,22,53,94,108,10,17,60,2,1,1,0.8999999999999999,0,1,0.5
62,1833333,30,30,60,55,920,430,5,0.7999999999999999,24,111,110,36,11,10,420,9,8,1,0.7999999999999999,0,1,0.8999999999999999
63,1200000,15,15,86,111,440,410,5,0.7,50,102,126,104,9,13,40,1,3,1,1.0,0,1,0.5
64,1200000,20,20,30,82,440,830,5,0.7,16,51,96,84,9,10,180,2,7,1,0.7999999999999999,0,0,0.6
65,2466666,30,30,114,35,590,550,1,0.5,46,44,32,90,10,17,20,7,3,1,0.7999999999999999,1,0,1.0
66,1833333,10,10,99,49,450,950,3,1.0,14,51,44,90,10,14,300,1,8,1,0.7999999999999999,0,0,0.5
67,1200000,20,20,53,74,930,560,4,1.0,22,112,62,82,9,14,340,7,8,1,0.8999999999999999,0,0,0.5
68,1200000,30,30,96,44,410,770,2,0.5,20,79,42,30,14,16,100,4,6,0,1.0,1,0,0.6
69,1833333,15,15,24,109,230,180,5,0.5,30,46,84,38,10,15,340,5,7,1,0.7999999999999999,1,1,0.6
70,1200000,10,10,116,93,180,940,1,1.0,36,69,30,60,13,14,60,6,8,0,0.5,1,0,1.0
71,2466666,30,30,123,51,900,270,2,0.7,42,104,94,98,9,14,480,2,3,0,0.5,0,1,0.5
72,3100000,30,30,52,37,720,440,1,0.7999999999999999,12,62,32,86,13,16,440,5,3,1,1.0,0,1,0.5
73,3100000,10,10,116,124,640,390,2,0.6,34,93,66,102,8,14,280,7,1,1,0.7999999999999999,1,0,0.5
74,2466666,15,15,82,43,190,350,1,0.7,50,83,82,66,13,14,100,8,1,1,1.0,0,0,0.7999999999999999
75,2466666,10,10,25,118,900,550,4,0.6,24,65,128,32,13,9,440,5,6,1,0.5,1,1,0.7
76,2466666,15,15,49,81,480,590,5,0.5,48,99,120,94,12,9,320,3,5,0,0.7999999999999999,1,0,1.0
77,1833333,30,30,68,45,730,830,3,0.8999999999999999,56,88,94,38,10,9,260,2,4,1,0.5,1,0,0.8999999999999999
78,1833333,15,15,56,63,510,220,3,0.7999999999999999,30,80,104,64,11,9,320,10,1,0,0.8999999999999999,1,0,0.8999999999999999
79,2466666,20,20,61,119,810,680,4,1.0,52,79,92,124,13,16,360,3,1,1,1.0,1,0,0.6
80,1833333,20,20,82,55,670,300,3,0.7,10,43,126,38,9,17,300,9,1,1,0.6,1,1,0.5
81,2466666,30,30,118,98,440,550,4,0.5,56,113,48,126,8,10,400,5,3,1,0.5,0,0,0.7999999999999999
82,3100000,30,30,55,112,680,720,4,1.0,44,43,106,48,8,15,60,7,3,0,0.7,1,1,0.7999999999999999
83,2466666,30,30,127,95,260,180,3,0.7999999999999999,44,27,74,90,8,11,120,3,5,0,0.5,0,0,0.5
84,1200000,20,20,74,67,480,480,5,0.5,6,97,116,120,9,9,240,7,1,1,0.7999999999999999,1,1,0.5
85,2466666,30,30,39,27,900,160,1,0.7999999999999999,38,80,72,26,10,8,260,4,5,1,0.8999999999999999,0,0,0.8999999999999999
86,1833333,15,15,53,102,810,120,5,0.6,58,107,106,128,8,16,20,1,6,0,1.0,0,0,1.0
87,3100000,30,30,106,102,540,530,2,0.6,64,67,106,80,10,10,160,2,1,0,0.7,0,1,0.8999999999999999
88,1200000,20,20,123,62,120,340,3,0.7,8,44,56,70,13,12,360,8,8,1,0.6,0,1,0.5
89,2466666,15,15,29,114,440,100,3,0.7999999999999999,62,40,114,40,9,16,440,10,8,1,0.7999999999999999,1,0,0.7999999999999999
90,1833333,20,20,97,69,260,750,4,0.6,22,67,32,30,13,18,440,7,1,1,0.7,1,1,0.8999999999999999
91,2466666,15,15,67,128,630,580,1,1.0,10,103,126,84,12,14,340,9,1,1,0.7999999999999999,0,1,1.0
92,2466666,20,20,68,24,750,980,4,0.7,24,101,80,52,11,17,80,3,5,1,1.0,1,0,0.7999999999999999
93,1833333,30,30,94,126,830,240,5,0.6,48,69,32,122,10,8,160,3,3,0,0.7999999999999999,1,1,0.7999999999999999
94,1200000,10,10,41,94,360,350,1,0.6,6,65,88,74,12,18,40,2,2,1,0.5,0,1,1.0
95,1200000,15,15,120,88,380,190,5,0.6,56,51,128,120,8,10,400,6,2,0,0.7,0,1,0.7
96,1200000,15,15,66,67,830,530,4,0.6,24,50,76,112,10,9,440,8,4,1,0.7999999999999999,1,0,0.6
97,3100000,20,20,47,67,150,500,4,0.8999999999999999,22,83,74,116,8,9,500,6,4,0,0.5,1,1,1.0
98,3100000,10,10,70,66,570,640,3,1.0,58,44,72,66,11,17,360,4,7,0,1.0,1,1,1.0
99,1833333,15,15,45,65,400,650,1,0.7999999999999999,48,38,126,42,9,12,140,10,7,1,0.7999999999999999,0,0,1.0
100,1833333,20,20,49,102,510,890,5,0.7,62,117,46,28,14,16,100,1,8,0,0.7999999999999999,1,0,0.6
101,2466666,30,30,29,58,220,350,3,0.6,22,95,100,90,10,14,60,4,1,0,0.7,0,1,0.7999999999999999
102,3100000,10,10,27,80,120,120,5,0.6,64,85,64,110,9,9,180,4,5,0,0.5,0,1,0.7999999999999999
103,3100000,15,15,124,98,760,840,3,1.0,58,91,100,40,13,9,480,3,6,1,0.5,1,0,1.0
104,2466666,20,20,97,53,740,850,1,0.5,16,84,94,92,12,16,480,1,2,0,0.7,0,0,0.7
105,2466666,10,10,75,97,440,330,4,0.5,62,122,122,74,12,13,220,5,2,0,0.7,1,1,0.6
106,1833333,30,30,57,80,260,610,2,0.7999999999999999,32,105,52,40,13,14,140,9,3,1,0.5,1,1,0.7999999999999999
107,2466666,30,30,39,127,150,360,5,0.8999999999999999,12,31,88,64,14,10,440,3,4,0,0.5,1,0,0.7999999999999999
108,1833333,10,10,104,105,980,290,3,0.6,12,37,110,32,9,13,460,7,3,0,1.0,1,1,0.7
109,2466666,10,10,116,66,260,270,1,0.5,8,39,74,58,11,17,200,7,5,1,0.5,1,1,0.7999999999999999
110,2466666,15,15,36,113,310,480,5,0.7,20,49,60,62,10,12,100,5,6,1,0.6,0,0,0.5
111,3100000,30,30,120,66,790,740,1,1.0,54,124,62,84,8,11,40,3,4,1,0.8999999999999999,0,1,0.6
112,1200000,20,20,60,127,780,900,1,0.8999999999999999,56,85,102,68,8,8,140,8,1,0,0.7,1,1,1.0
113,2466666,15,15,82,58,230,580,1,0.6,56,41,78,70,13,8,400,3,2,1,0.5,1,0,0.7999999999999999
114,3100000,20,20,61,29,700,410,3,0.6,4,69,84,46,14,18,380,1,2,0,0.7999999999999999,1,1,0.6
115,3100000,15,15,25,70,440,670,2,0.7,16,48,92,38,9,9,480,4,6,0,0.8999999999999999,1,0,0.6
116,2466666,15,15,128,26,720,660,5,0.7999999999999999,12,37,28,92,10,8,60,4,7,0,1.0,0,1,0.6
117,2466666,10,10,106,26,420,300,3,0.7,4,52,68,42,14,11,420,4,4,1,0.6,0,0,0.6
118,2466666,10,10,90,70,350,240,2,0.7,50,34,84,110,11,9,500,1,3,0,0.7999999999999999,0,1,0.8999999999999999
119,1200000,30,30,41,62,940,220,5,0.7999999999999999,16,80,122,30,14,14,440,6,2,1,0.8999999999999999,1,0,0.7
120,3100000,15,15,124,72,200,170,3,0.7,36,39,56,58,12,9,320,2,8,1,0.5,1,1,0.7999999999999999
121,1833333,20,20,72,94,860,240,2,1.0,58,27,88,28,13,17,100,10,4,0,0.7999999999999999,1,0,0.7999999999999999
122,3100000,30,30,47,56,770,870,5,1.0,28,75,78,40,11,11,380,9,3,1,0.5,1,0,1.0
123,2466666,20,20,32,48,390,750,5,0.7999999999999999,38,33,78,48,8,15,420,6,3,1,0.8999999999999999,0,1,0.7
124,1833333,10,10,37,48,920,290,4,0.7,32,29,58,64,14,14,360,4,4,0,0.8999999999999999,0,0,0.7
125,1833333,10,10,103,123,620,840,1,0.7999999999999999,46,45,34,96,12,16,500,4,5,1,0.5,0,0,0.7999999999999999
126,1833333,30,30,73,83,420,220,1,0.7999999999999999,20,41,86,120,13,13,100,1,6,0,0.8999999999999999,0,0,1.0
127,2466666,10,10,69,93,370,980,1,0.6,6,71,108,60,12,16,500,5,6,1,0.8999999999999999,0,1,0.7999999999999999
128,1833333,20,20,78,114,330,940,1,1.0,14,99,68,28,14,8,180,8,8,0,0.8999999999999999,0,1,0.5
129,1833333,30,30,110,70,960,680,4,0.5,48,89,54,104,13,10,400,5,8,1,0.7999999999999999,0,0,1.0
130,2466666,20,20,121,40,970,340,4,0.5,18,118,62,40,12,16,480,3,4,0,1.0,0,1,0.6
131,2466666,30,30,90,44,640,610,4,0.7999999999999999,36,36,56,104,9,13,200,6,2,1,0.8999999999999999,0,0,1.0
132,2466666,30,30,108,57,850,390,5,0.8999999999999999,42,67,106,64,12,18,80,5,1,1,0.7,1,0,0.5
133,3100000,30,30,64,56,770,900,1,0.8999999999999999,32,48,76,68,9,17,100,7,6,0,1.0,1,1,0.7999999999999999
134,1200000,10,10,50,25,680,840,2,0.7999999999999999,62,37,100,104,8,15,380,8,2,1,0.8999999999999999,0,0,0.6
135,1200000,15,15,91,84,530,970,3,0.7,58,62,92,64,10,13,220,3,4,1,1.0,1,1,1.0
136,2466666,15,15,98,52,680,770,3,0.8999999999999999,54,107,24,38,13,8,60,5,2,0,0.7,1,0,0.7
137,2466666,20,20,108,35,610,310,1,1.0,34,108,114,62,11,17,420,9,5,1,0.5,1,1,0.5
138,2466666,30,30,127,91,940,780,2,0.7,10,63,32,80,11,8,320,1,8,0,0.7999999999999999,0,1,0.8999999999999999
139,1833333,30,30,24,51,600,560,3,0.7,14,122,52,46,8,12,20,8,8,0,0.7999999999999999,1,0,0.8999999999999999
140,1200000,30,30,99,53,320,640,5,0.6,24,55,50,54,12,16,320,3,5,0,0.8999999999999999,1,0,0.5
141,1833333,15,15,114,38,350,370,2,0.7,32,103,34,82,14,15,180,7,1,0,0.5,1,0,0.7
142,1833333,30,30,78,110,750,690,2,1.0,34,93,110,34,9,10,60,10,8,0,0.6,0,0,0.8999999999999999
143,3100000,15,15,103,28,220,310,4,0.7999999999999999,50,65,86,48,8,8,120,7,6,0,0.5,1,1,1.0
144,1833333,10,10,50,108,840,560,2,0.6,36,67,80,104,14,9,140,3,2,1,0.8999999999999999,1,0,0.6
145,1833333,30,30,98,54,140,310,2,0.7999999999999999,44,46,94,60,12,9,380,10,1,1,0.5,1,0,0.5
146,3100000,20,20,94,80,700,680,2,0.8999999999999999,58,115,86,38,14,8,400,8,6,1,1.0,1,1,0.7999999999999999
147,1833333,20,20,105,106,970,230,2,1.0,44,54,104,106,11,17,460,2,2,1,0.8999999999999999,1,0,0.7
148,2466666,20,20,89,102,600,130,5,0.5,36,93,74,128,14,16,380,8,4,0,0.7999999999999999,0,1,0.8999999999999999
149,1833333,30,30,34,39,970,160,5,1.0,34,58,58,96,9,10,460,9,2,0,0.7,1,1,0.7
150,3100000,15,15,32,106,110,610,2,0.8999999999999999,4,39,88,96,8,11,440,5,8,1,0.5,0,1,0.6
151,1200000,15,15,37,119,610,550,5,1.0,44,125,82,80,10,15,240,9,7,1,0.8999999999999999,0,1,0.7999999999999999
152,1833333,20,20,116,33,560,260,3,0.5,34,68,120,44,13,17,420,7,4,0,0.6,1,0,0.8999999999999999
153,1200000,10,10,103,86,460,570,3,1.0,44,110,98,74,13,12,320,4,3,0,0.5,0,0,0.8999999999999999
154,3100000,20,20,80,36,590,550,4,0.5,14,46,92,110,12,14,380,6,1,1,0.7,0,0,1.0
155,3100000,20,20,31,113,970,790,2,0.5,14,73,30,120,13,17,240,7,6,1,0.5,1,1,0.7
156,3100000,15,15,32,92,120,770,4,0.6,8,56,128,62,10,9,440,5,2,1,0.7,1,0,0.8999999999999999
157,2466666,30,30,30,73,240,430,5,0.7,58,65,30,90,11,15,420,5,8,0,0.5,1,0,0.7999999999999999
158,3100000,15,15,116,126,160,310,4,1.0,12,61,72,94,14,16,80,4,3,0,0.6,1,1,0.6
159,1833333,15,15,125,60,990,420,5,0.7999999999999999,50,100,62,46,8,12,140,5,3,1,0.8999999999999999,0,0,1.0
160,1200000,20,20,120,112,660,450,5,0.6,36,122,98,98,9,16,340,3,1,1,1.0,0,1,0.5
161,2466666,10,10,43,128,640,390,4,0.7999999999999999,38,28,46,72,12,17,220,4,7,1,0.7,1,0,0.7999999999999999
162,3100000,20,20,58,107,280,140,3,1.0,52,71,90,80,14,18,400,10,3,1,0.8999999999999999,0,0,0.6
163,2466666,10,10,45,84,350,990,3,0.7,56,108,104,76,9,18,160,1,1,0,1.0,0,1,0.7999999999999999
164,1833333,20,20,80,68,120,500,2,1.0,52,72,72,42,8,10,340,3,8,1,0.7,1,1,0.5
165,1833333,20,20,64,49,890,200,1,0.7999999999999999,30,47,112,124,9,9,480,3,6,0,0.8999999999999999,0,0,0.5
166,1200000,15,15,98,108,680,360,2,0.7999999999999999,64,58,32,60,13,10,180,5,1,0,0.5,0,0,1.0
167,3100000,20,20,68,31,520,110,5,0.6,62,40,106,102,8,12,220,9,6,1,1.0,1,1,0.7
168,2466666,10,10,61,46,480,970,1,0.5,38,68,128,62,10,12,200,9,4,0,0.7,1,1,0.5
169,2466666,20,20,50,127,570,670,2,0.8999999999999999,14,109,116,114,11,18,260,3,6,1,0.8999999999999999,1,0,0.7999999999999999
170,2466666,10,10,24,104,600,750,3,0.6,20,55,112,82,8,16,100,2,3,0,0.8999999999999999,1,0,0.7999999999999999
171,2466666,20,20,122,82,110,620,2,0.8999999999999999,32,38,72,104,8,17,400,8,5,0,0.5,1,0,0.8999999999999999
172,1833333,15,15,113,59,350,340,4,0.5,44,40,86,104,10,10,40,7,4,1,0.5,1,0,0.7
173,1833333,20,20,57,82,910,790,2,0.8999999999999999,20,122,110,124,8,9,60,5,6,1,0.6,1,0,0.6
174,1833333,30,30,104,111,880,190,5,1.0,56,63,90,44,9,9,440,1,5,0,0.6,1,1,0.5
175,2466666,10,10,101,47,390,270,4,0.7,10,58,38,74,8,15,180,2,2,1,1.0,0,1,0.7
176,2466666,15,15,68,38,700,150,5,0.6,14,62,90,80,12,13,40,4,3,1,0.5,0,1,0.7
177,3100000,10,10,50,40,550,560,3,0.6,44,78,128,112,13,16,120,3,3,0,1.0,1,0,1.0
178,1833333,30,30,64,42,990,840,4,0.7,14,70,66,36,10,14,120,8,4,1,0.8999999999999999,0,0,0.8999999999999999
179,3100000,10,10,54,74,970,490,1,0.8999999999999999,10,64,108,88,11,18,120,1,3,0,0.5,1,0,0.5
180,1833333,15,15,30,113,380,470,3,0.7,54,102,40,120,9,9,360,6,2,1,0.7,1,1,0.5
181,1833333,10,10,113,89,750,460,3,1.0,8,88,92,112,14,16,240,5,2,0,0.5,0,1,0.5
182,3100000,10,10,92,97,830,630,2,1.0,44,48,74,56,11,16,80,8,6,1,1.0,1,1,1.0
183,1200000,15,15,76,38,150,220,5,1.0,30,47,54,50,11,9,460,3,4,0,0.8999999999999999,0,0,0.6
184,1833333,15,15,67,77,710,610,3,1.0,20,27,74,38,14,11,100,4,8,0,0.7999999999999999,0,1,0.7
185,1833333,10,10,57,100,200,690,3,0.7999999999999999,10,112,68,116,12,15,500,7,1,0,0.8999999999999999,0,0,0.7999999999999999
186,1833333,20,20,118,49,930,550,5,0.8999999999999999,10,26,48,40,11,10,300,6,8,1,0.5,0,0,0.7
187,3100000,10,10,108,84,310,610,5,1.0,50,86,106,90,12,15,360,4,6,1,0.7999999999999999,1,1,1.0
188,1833333,10,10,97,57,670,630,4,0.5,40,30,70,116,12,15,320,1,4,0,1.0,1,0,0.5
189,1200000,30,30,39,41,980,210,4,0.5,36,52,116,24,13,10,340,6,7,1,0.5,0,1,0.5
190,3100000,10,10,75,52,650,290,4,0.7,4,30,70,54,10,9,360,3,2,0,0.5,1,0,0.7999999999999999
191,1200000,10,10,49,72,700,400,5,0.7,40,35,100,78,8,9,240,2,1,0,0.8999999999999999,1,0,0.6
192,1200000,10,10,88,89,390,990,5,1.0,8,65,78,90,9,9,60,3,5,0,0.8999999999999999,0,0,1.0
193,1200000,10,10,94,62,450,170,4,0.5,56,120,76,40,8,16,400,7,5,1,1.0,0,0,0.7999999999999999
194,3100000,30,30,88,102,570,250,1,0.5,8,84,104,128,12,13,320,5,7,1,0.8999999999999999,1,0,0.7999999999999999
195,3100000,10,10,32,108,360,1000,4,0.7,50,120,84,88,8,12,320,1,2,1,0.6,1,1,0.7999999999999999
196,1833333,30,30,73,35,820,330,5,0.7999999999999999,60,90,128,46,13,11,220,3,1,0,1.0,0,0,0.6
197,3100000,10,10,28,44,490,170,1,0.7,50,94,38,40,9,17,260,10,4,1,0.6,0,0,0.5
198,2466666,15,15,48,81,100,960,4,1.0,62,58,36,60,9,11,260,8,2,0,1.0,0,1,0.7
199,2466666,20,20,46,109,640,600,2,0.7999999999999999,44,28,70,112,10,8,460,4,5,0,0.7999999999999999,1,0,0.7999999999999999
200,1833333,20,20,62,128,270,230,2,0.7999999999999999,4,72,104,112,10,14,340,3,4,1,0.7,1,1,0.5
201,3100000,10,10,117,64,460,640,4,0.7,12,31,78,94,10,16,460,5,8,0,0.6,0,1,0.7
202,2466666,10,10,75,91,980,250,3,0.8999999999999999,46,82,60,32,8,12,120,5,5,1,0.7,1,1,0.7
203,2466666,20,20,112,85,690,900,4,0.6,14,49,30,56,11,11,260,2,1,1,1.0,1,0,1.0
204,1200000,15,15,25,112,290,980,5,0.7,40,57,114,54,12,8,100,2,6,0,0.8999999999999999,1,0,0.7999999999999999
205,3100000,20,20,125,33,1000,1000,4,0.7999999999999999,12,69,96,42,12,13,100,7,3,0,0.7,0,0,1.0
206,1833333,15,15,51,119,670,250,3,0.5,38,109,50,62,14,15,220,5,5,0,0.7,0,1,0.5
207,3100000,10,10,90,118,320,210,5,0.8999999999999999,12,26,98,78,13,14,360,7,3,0,0.7,0,0,0.7
208,1200000,30,30,105,49,700,570,1,1.0,32,78,46,62,10,11,440,10,8,1,0.6,0,1,0.8999999999999999
209,3100000,10,10,40,50,530,460,1,0.7,34,48,92,52,13,8,260,10,1,0,1.0,0,1,0.7
210,1833333,20,20,82,72,370,330,2,0.7999999999999999,62,60,38,114,10,18,20,4,1,1,0.7,0,1,0.7
211,1833333,10,10,126,112,290,850,4,0.8999999999999999,28,124,110,78,8,13,400,4,2,1,0.5,1,1,0.7
212,1200000,20,20,104,36,550,1000,2,1.0,14,125,84,88,14,16,380,10,8,1,0.6,0,0,0.6
213,1200000,30,30,66,47,630,340,3,0.8999999999999999,22,55,104,64,11,11,500,10,4,1,1.0,0,1,1.0
214,3100000,20,20,43,25,920,950,4,0.5,54,98,44,24,13,12,300,5,3,1,0.5,1,0,1.0
215,1200000,30,30,114,98,870,670,2,0.6,52,29,80,120,13,15,20,2,4,1,1.0,1,0,0.6
216,1200000,10,10,112,122,860,650,2,1.0,18,90,54,28,10,15,320,4,8,0,0.5,0,1,0.7
217,1200000,15,15,36,82,450,690,4,0.6,6,58,24,98,8,9,320,2,3,0,1.0,1,0,0.7
218,1200000,20,20,32,26,480,230,3,0.8999999999999999,26,119,114,70,9,11,160,3,1,1,0.8999999999999999,0,1,0.5
219,3100000,10,10,125,38,130,560,3,0.6,34,75,48,120,13,16,380,4,5,0,1.0,1,1,0.5
220,3100000,30,30,125,67,470,440,5,0.7,44,88,86,112,10,11,460,2,3,0,0.7,1,0,0.8999999999999999
221,1200000,20,20,31,101,340,310,1,1.0,54,76,116,116,13,17,480,3,4,1,0.5,1,1,0.7999999999999999
222,1833333,20,20,96,92,330,270,2,1.0,4,52,60,92,9,11,260,7,6,0,0.5,1,1,0.8999999999999999
223,1833333,30,30,57,113,360,900,4,0.6,26,93,24,90,11,9,180,8,1,1,0.5,1,0,0.6
